numero,dam_key,state_code,dam_name,dam_name_clean,state,municipality,latitude,longitude,altitude_m,basin_id,basin_name,hydro_region_id,hydro_region_name,namo_oficial_mm3,name_elev_msnm,name_oficial_mm3,namo_elev_msnm,altura_cortina_m,elev_corona_msnm,inicio_operacion,corriente,uso,tipo_vertedor,nombre_comun
154,VNTQT,QT,"La Venta, Qro.",La Venta,Querétaro,Pedro Escobedo,20.498611,-100.190556,0,489,Río San Juan 1,26,Pánuco,2.47900009155273,1907.68005371094,3.77699995040894,1906.68005371094,4.3,1896.0,1907,Dren Culebra,RI,Libre,"La Venta, Qro."
155,CNSQT,QT,"Constitución de 1917, Qro.",Constitución de 1917,Querétaro,San Juan del Río,20.418611,-100.080278,1295,488,Río Galindo,26,Pánuco,66.08,1928.39,76.461,1927.06,35.0,1937.0,1969,Dren Caracol,RI,Contr,"Hidalgo, Qro."
156,LLAQT,QT,"La Llave, Qro.",La Llave,Querétaro,San Juan del Río,20.461944,-99.994722,0,489,Río San Juan 1,26,Pánuco,9.3120002746582,1891.09997558594,14.4139995574951,1890.0,5.0,0.0,1885,Dren Culebra,RI,Libre,"Divino Redentor, Qro."
157,CNTQT,QT,"El Centenario, Qro.",El Centenario,Querétaro,Tequisquiapan,20.513333,-99.897778,1820,489,Río San Juan 1,26,Pánuco,9.781,1882.5,14.178,1881.55,13.0,1898.0,1910,Río San Juan,RI,Mixto,"El Centenario, Qro."
158,ELOSL,SL,"Cañada del Lobo, S.L.P.","Cañada del Lobo, S.L.P.",San Luis Potosí,San Luis Potosí,22.094722,-100.9675,1929,756,Presa San José - Los Pilares y otras,37,El Salado,1.244,1962.1,2.161,1958.8,28.0,1963.7,1987,R. Españita,CA,Libre,"Cañada del Lobo, S.L.P."
159,ELPSL,SL,"Gonzalo N. Santos, S.L.P.","Gonzalo N. Santos, S.L.P.",San Luis Potosí,San Luis Potosí,22.092222,-101.098611,2115,756,Presa San José - Los Pilares y otras,37,El Salado,6.685,2047.87,9.054,2044.849976,39.0,2049.6,1953,A. Grande o Azul,AP,Libre,"El Peaje, S.L.P."
160,EPOSL,SL,"El Potosino, S.L.P.","El Potosino, S.L.P.",San Luis Potosí,San Luis Potosí,22.099722,-101.078056,1950,756,Presa San José - Los Pilares y otras,37,El Salado,3.292999983,2000.849976,5.198999882,1996.800049,30.85,2000.85,1990,A. El Potosino,RI,Libre,"El Potosino, S.L.P."
161,SNJSL,SL,"San José, S.L.P.","San José, S.L.P.",San Luis Potosí,San Luis Potosí,22.150278,-101.054444,1960,756,Presa San José - Los Pilares y otras,37,El Salado,5.223,1933.7,5.656,1933.3,32.0,1955.5,1903,R. Santiago,AP,Libre,"San José, S.L.P."
162,TIESL,SL,"La Muñeca, S.L.P.","La Muñeca, S.L.P.",San Luis Potosí,Tierra Nueva,21.629444,-100.548333,1778,509,Río Santa María 1,26,Pánuco,24.14,1841.75,31.0,1837.699951,40.25,1843.75,1981,Río Jofre,AP,Libre,"La Muñeca, S.L.P."
163,IVGSL,SL,"Valentín Gama, S.L.P.","Valentín Gama, S.L.P.",San Luis Potosí,Villa de Reyes,21.88,-100.820556,1789,508,Arroyo Altamira,26,Pánuco,9.510000229,1788.099976,22.39999962,1783.800049,24.0,1789.55,1970,R. Santa María,RI,Libre,"Ojo Caliente, S.L.P."
