numero,dam_key,state_code,dam_name,dam_name_clean,state,municipality,latitude,longitude,altitude_m,basin_id,basin_name,hydro_region_id,hydro_region_name,namo_oficial_mm3,name_elev_msnm,name_oficial_mm3,namo_elev_msnm,altura_cortina_m,elev_corona_msnm,inicio_operacion,corriente,uso,tipo_vertedor,nombre_comun
96,PNDMX,MX,"Ñadó, Méx.","Ñadó, Méx.",México,Aculco,20.038611,-99.864444,2500,487,Río Ðado,26,Pánuco,16.79999924,2475.5,18.5,2474.0,52.5,2477.5,1980,Río Ñadó,RI,Libre,"Ñadó, Méx."
97,PIRMX,MX,"Ignacio Ramírez, Méx.","Ignacio Ramírez, Méx.",México,Almoloya de Juárez,19.461667,-99.775,2557,171,Río La Gavia,12,Lerma Santiago,20.227,2550.47998,36.29999924,2548.44,23.5,2553.76,1965,R. La Gavia,RI,Libre,"La Gavia, Méx."
98,PFBMX,MX,"Francisco José Trinidad Fabela, Méx.","Francisco José Trinidad Fabela, Méx.",México,Atlacomulco,19.829167,-99.790278,2812,173,Río Lerma 2,12,Lerma Santiago,9.93,2697.800049,12.32,2696.699951,19.15,2697.5,1945,R. Del Salto,RI,Libre,"Islas de las Aves o El Salto, Méx."
99,GDLMX,MX,"Sierra de Guadalupe, Méx.","Sierra de Guadalupe, Méx.",México,Cuautitlán Izcalli,19.635556,-99.252222,2290,556,Río Cuautitlán,26,Pánuco,56.91,2306.820068,64.08,2305.199951,33.0,2308.75,1936,R. Cuautitlán,RI,Libre,"Guadalupe,Méx."
100,DNXMX,MX,"Danxhó, Méx.","Danxhó, Méx.",México,Jilotepec,19.884722,-99.559722,1249,558,Presa Endhó,26,Pánuco,31.046,2455.13,32.67,2454.0,31.0,2455.6,1951,R. Coscomate,RI,Libre,"Danxho, Méx."
101,PMDMX,MX,"Madín, Méx.","Madín, Méx.",México,Naucalpan de Juárez,19.526944,-99.260833,2325,555,Ciudad de México,26,Pánuco,9.37,2346.04,17.964,2336.29,75.0,2348.5,1959,R. Tlanepantla,AP,Contr,"Madín, Méx."
102,TPTMX,MX,"San Andrés Tepetitlán, Méx.","San Andrés Tepetitlán, Méx.",México,San Felipe del Progreso,19.660833,-99.961389,2584,172,Río Jaltepec,12,Lerma Santiago,59.9659996,2594.459961,81.02899933,2592.02002,35.0,2597.38,1964,R. San José,RI,Libre,"Tepetitlán,Méx."
103,SBBMX,MX,"José Antonio Alzate, Méx.","José Antonio Alzate, Méx.",México,Temoaya,19.465833,-99.704722,2571,173,Río Lerma 2,12,Lerma Santiago,35.31200027,2566.919922,52.50899887,2565.5,24.0,2567.0,1962,R. Lerma,RI,Libre,"San Bernabé, Méx."
104,CNPMX,MX,"La Concepción, Méx.","La Concepción, Méx.",México,Tepotzotlán,19.695,-99.304444,2360,556,Río Cuautitlán,26,Pánuco,12.111,2352.540039,12.599,2352.100098,39.0,2355.64,1949,R. Tepotzotlán,RI,Libre,"La Concepción, Méx."
105,HPNMX,MX,"Huapango, Méx.","Huapango, Méx.",México,Timilpan,20.046389,-99.696944,2623,486,Arroyo Zarco,26,Pánuco,121.3,2512.8,126.5,2512.65,14.0,2513.0,1765,Río Huapango,RI,Libre,"Huapango, Méx."
106,VBRMX,MX,"Valle de Bravo, Méx.","Valle de Bravo, Méx.",México,Valle de Bravo,19.2075,-100.18,2476,276,Río Cutzamala,18,Balsas,394.39,1833.0,449.42,1830.0,56.0,1835.37,1947,R. Valle de Bravo,AP,Libre,"Valle de Bravo, Méx."
107,TXMHD,HD,"Taxhimay, Méx.","Taxhimay, Méx.",México,Villa del Carbón,19.834722,-99.385278,0,557,Presa Requena,26,Pánuco,39.914,2216.1,47.386,2214.1,43.0,2217.05,1912,R. San Luis de las P,RI,Libre,"Taxhimay, Méx."
108,VVCMX,MX,"Villa Victoria, Méx.","Villa Victoria, Méx.",México,Villa Victoria,19.461667,-100.055556,2577,276,Río Cutzamala,18,Balsas,185.723,2607.5,249.943,2605.5,19.0,2561.96,1944,R. San Juan Malacate,AP,Libre,"Villa Victoria,Méx."
109,MOCMC,MC,"Melchor Ocampo, Mich.",Melchor Ocampo,Michoacán de Ocampo,Angamacutiro,20.127222,-101.724444,1720,181,Río Angulo,12,Lerma Santiago,194.4539948,1714.410034,249.8430023,1711.900024,34.0,1716.5,1975,R. AngÃºlo,RI,Libre,"El Rosario, Mich."
110,INFMC,MC,"Infiernillo, Mich.",Infiernillo,Michoacán de Ocampo,Arteaga,18.266667,-101.883333,194,281,Río Bajo Balsas,18,Balsas,9367.77,183.2,15194.8,169.0,151.5,184.0,1964,R. Balsas,GH,Contr,"Infiernillo, Mich."
111,TEPMC,MC,"Tepuxtepec, Mich.",Tepuxtepec,Michoacán de Ocampo,Contepec,20.000278,-100.229167,2380,173,Río Lerma 2,12,Lerma Santiago,449.97,2350.0,537.527,2348.11,47.0,2352.0,1930,R. Lerma,GH/RI,Contr,"Tepuxtepec, Mich."
112,SJUMC,MC,"San Juanico, Mich.",San Juanico,Michoacán de Ocampo,Cotija,19.839444,-102.651389,0,280,Río Tepalcatepec,18,Balsas,60.545,1604.56,71.69,1603.86,5.7,1574.6,1950,R. Cotija,RI,Libre,"La Laguna, Mich."
113,AGOMC,MC,"Agostitlán, Mich.",Agostitlán,Michoacán de Ocampo,Hidalgo,19.579722,-100.608889,2520,276,Río Cutzamala,18,Balsas,15.675,2377.84,18.754,2376.6,25.0,2379.0,1955,A. El Chaparro,RI,Libre,"Mata de Pinos, Mich."
114,PUCMC,MC,"Pucuato, Mich.",Pucuato,Michoacán de Ocampo,Hidalgo,19.621389,-100.684167,2486,276,Río Cutzamala,18,Balsas,9.485,2500.0,11.534,2499.0,15.0,2501.25,1946,A. Los Charcos,RI,Libre,"Pucuato, Mich."
115,SABMC,MC,"Sabaneta, Mich.",Sabaneta,Michoacán de Ocampo,Hidalgo,19.622778,-100.669444,2510,276,Río Cutzamala,18,Balsas,5.043,2508.95,5.875,2508.0,17.0,2494.9,1948,A. Los Charcos,RI,Libre,"Sabaneta, Mich."
116,AMEMC,MC,"Aristeo Mercado, Mich.",Aristeo Mercado,Michoacán de Ocampo,Jiménez,19.926111,-101.661111,1998,181,Río Angulo,12,Lerma Santiago,25.344,1993.8,28.305,1993.5,9.2,1999.83,1926,A. sin nombre,RI,Libre,"Wilson ,Mich."
117,CPAMC,MC,"Copándaro, Mich.",Copándaro,Michoacán de Ocampo,Jiquilpan,20.001667,-102.861389,1997,186,Río Lerma 7,12,Lerma Santiago,2.752,1989.209,9.717,1987.659,5.7,1999.0,1927,R. La Patera,RI,Libre,"Copándaro de Dolores, Mich."
118,LANMC,MC,"Los Ángeles, Mich.",Los Ángeles,Michoacán de Ocampo,José Sixto Verduzco,20.248889,-101.626667,1687,182,Río Lerma 5,12,Lerma Santiago,14.59,1688.45,17.096,1687.95,10.0,1689.95,,C. El Alto Las Cañas,RI,Libre,Tres Mezquites
119,ZICMC,MC,"Zicuirán, Mich.",Zicuirán,Michoacán de Ocampo,La Huacana,18.921111,-101.931944,0,281,Río Bajo Balsas,18,Balsas,36.29399872,301.4400024,47.48500061,299.0,46.0,302.75,1957,R. Zicuirán,RI,Libre,"La Peña, Mich."
120,VILMC,MC,"José María Morelos y Pavón, Mich.",José María Morelos y Pavón,Michoacán de Ocampo,Lázaro Cárdenas,18.048333,-102.180278,92,281,Río Bajo Balsas,18,Balsas,545.93,56.73,686.94,51.2,73.0,59.73,1973,R. Balsas,AP/GH/RI,Contr,"La Villita, Mich."
121,LDFMC,MC,"Laguna del Fresno, Mich.",Laguna del Fresno,Michoacán de Ocampo,Maravatío,19.838056,-100.406389,2078,174,Río Lerma 3,12,Lerma Santiago,10.299,2057.0,13.132,2055.98,8.8,2059.0,1946,R. Cachiví,RI,Libre,"Laguna del Fresno, Mich."
122,COIMC,MC,"Coíntzio, Mich.",Coíntzio,Michoacán de Ocampo,Morelia,19.629722,-101.259167,2096,188,Lago de Cuitzeo,12,Lerma Santiago,68.52,2001.319946,79.23300171,1999.47,46.0,1997.0,1939,R. Grande de Morelia,AP/RI,Contr,"Cointzio, Mich."
123,PTZMC,MC,"Pátzcuaro, Mich.",Pátzcuaro,Michoacán de Ocampo,Pátzcuaro,19.542778,-101.616944,2042,187,Lago de Pátzcuaro,12,Lerma Santiago,646.582,2042.35,1135.573,2038.57,,,,R. Jaripo,RI,Libre,"Pátzcuaro, Mich."
